slug consuntivo competenza,slug consuntivo cassa,slug preventivo,slug old,titolo,descrizione
consuntivo-spese-impegni-spese-per-investimenti-interventi-acquisizione-di-beni-immobili,consuntivo-spese-cassa-spese-per-investimenti-interventi-acquisizione-di-beni-immobili,preventivo-spese-spese-per-investimenti-interventi-acquisizione-di-beni-immobili,acquisizione-di-beni-immobili,Acquisizione di beni immobili,"<p>Sono le spese destinate all'acquisto di beni immobili, quali edifici, uffici, fabbricati o terreni.<a title=""Acquisizione di beni immobili"" href=""http://it.wikipedia.org/wiki/Glossario_del_bilancio_comunale#Acquisizione_di_beni_immobili"" target=""_blank"">Vai al glossario</a></p>"
consuntivo-spese-impegni-spese-per-investimenti-interventi-acquisizioni-di-beni-mobili,consuntivo-spese-cassa-spese-per-investimenti-interventi-acquisizioni-di-beni-mobili,preventivo-spese-spese-per-investimenti-interventi-acquisizioni-di-beni-mobili,acquisizioni-di-beni-mobili,Acquisizioni di beni mobili,"<p>Sono le somme per l'acquisto di beni mobili, come l'arredamento degli uffici o i mezzi di trasporto comunali (auto, autobus...).<a title=""Acquisizione di beni mobili"" href=""http://it.wikipedia.org/wiki/Glossario_del_bilancio_comunale#Acquisizione_di_beni_mobili"" target=""_blank"">Vai al glossario</a></p>"
consuntivo-entrate-accertamenti-imposte-e-tasse-imposte-addizionale-irpef,consuntivo-entrate-cassa-imposte-e-tasse-imposte-addizionale-irpef,,addizionale-irpef,Addizionale IRPEF,"<p>E' una aliquota aggiuntiva all'IRPEF, stabilita in parte dallo Stato, in parte dai singoli Comuni.<a title=""Addizionale IRPEF"" href=""http://it.wikipedia.org/wiki/Glossario_del_bilancio_comunale#Addizionale_comunale_all.27IRPEF"" target=""_blank"">Vai al glossario</a></p>"
consuntivo-entrate-accertamenti-vendite-e-trasferimenti-di-capitali-alienazione-del-patrimonio,consuntivo-entrate-cassa-vendite-e-trasferimenti-di-capitali-alienazione-del-patrimonio,preventivo-entrate-vendite-e-trasferimenti-di-capitali-alienazione-del-patrimonio,alienazione-del-patrimonio,Alienazione del patrimonio,"<p>Tutti i ricavi provenienti dalla vendita di beni mobili (es: automobil) ed immobili (palazzi, fabbricati) di propriet&agrave; del Comune <a title=""alienazione di beni patrimoniali"" href=""http://it.wikipedia.org/wiki/Glossario_del_bilancio_comunale#Alienazione_di_beni_patrimoniali"" target=""_blank"">(Tit. IV - Cat. 1 - Alienazione di beni patrimoniali)</a></p>"
consuntivo-entrate-accertamenti-entrate-extratributarie-altre-entrate-extratributarie,consuntivo-entrate-cassa-entrate-extratributarie-altre-entrate-extratributarie,preventivo-entrate-entrate-extratributarie-altre-entrate-extratributarie,altre-entrate-extratributarie,Altre extratributarie,"<p>I proventi diversi dalle fonti extratributarie principali <a title=""proventi diversi"" href=""http://it.wikipedia.org/wiki/Glossario_del_bilancio_comunale#Proventi_diversi"" target=""_blank"">(Tit. III - Cat. 5 - Proventi diversi)</a></p>"
consuntivo-spese-impegni-spese-correnti-interventi-altre-spese-per-interventi-correnti,consuntivo-spese-cassa-spese-correnti-interventi-altre-spese-per-interventi-correnti,preventivo-spese-spese-correnti-interventi-altre-spese-per-interventi-correnti,altre-spese-per-interventi-correnti,Altre spese per interventi correnti,"<p>Somma degli interventi: Acquisto di beni di consumo e/o di materie prime, Utilizzo di beni di terzi, Imposte e tasse, Oneri straordinari della gestione corrente, Ammortamenti di esercizio</p>"
consuntivo-entrate-accertamenti-imposte-e-tasse-tasse-altre-tasse,consuntivo-entrate-cassa-imposte-e-tasse-tasse-altre-tasse,preventivo-entrate-imposte-e-tasse-tasse-altre-tasse,altre-tasse,Altre Tasse,"<p>Somma delle voci ""tasse per l'occupazione degli spazi e delle aree pubbliche"" e di ""altre tasse"" (TOSAP - <a title=""TOSAP"" href=""http://it.wikipedia.org/wiki/Glossario_del_bilancio_comunale#Tassa_per_l.27occupazione_degli_spazi_e_delle_aree_pubbliche_.28TOSAP.29"" target=""_blank"">Tit. I - Cat. 2 - Tasse - TOSAP</a>; Tit. I - Cat. 2 - Tasse - Altre tasse).</p>"
consuntivo-spese-impegni-spese-per-investimenti-interventi-altri-investimenti-per-interventi,consuntivo-spese-cassa-spese-per-investimenti-interventi-altri-investimenti-per-interventi,preventivo-spese-spese-per-investimenti-interventi-altri-investimenti-per-interventi,altri-investimenti-per-interventi,Altri investimenti per interventi,"<p>Somma degli interventi: Espropri e servit&ugrave; onerose, acquisto di beni specifici per realizzazioni in economia, Utilizzo di beni di terzi per realizzazioni in economia, Concessioni di crediti e anticipazioni</p>"
consuntivo-entrate-accertamenti-imposte-e-tasse-tributi-speciali,consuntivo-entrate-cassa-imposte-e-tasse-tributi-speciali,preventivo-entrate-imposte-e-tasse-altri-tributi,altri-tributi,Altri tributi,"<p>Insieme dei tributi stabiliti su misura dal Consiglio Comunale, tra cui il <a title=""fondo sperimentale di riequilibrio"" href=""http://it.wikipedia.org/wiki/Glossario_del_bilancio_comunale#Fondo_sperimentale_di_riequilibrio"">fondo sperimentale di riequilibrio</a> e i <a title=""diritti sulle pubbliche affissioni"" href=""http://it.wikipedia.org/wiki/Glossario_del_bilancio_comunale#D"" target=""_blank"">diritti sulle pubbliche affissioni</a> <a title=""altri tributi"" href=""http://it.wikipedia.org/wiki/Glossario_del_bilancio_comunale#Altri_tributi"" target=""_blank"">(Tit. I - Cat. 3 - Tributi speciali ed altre entrate tributarie proprie)</a></p>"
consuntivo-spese-impegni-spese-somma-funzioni-amministrazione-amministrazione-altro,consuntivo-spese-cassa-spese-somma-funzioni-amministrazione-amministrazione-altro,,amministrazione-altro,Amministrazione (altro),"<p>Sono le spese per il funzionamento degli uffici Comunali, e per tutti gli altri servizi generali necessari al Comune per lo svolgimento delle sue attivit&agrave; principali. <a title=""Amministrazione (altro)"" href=""http://it.wikipedia.org/wiki/Glossario_del_bilancio_comunale#Funzioni_generali_di_amministrazione.2C_gestione_e_controllo"" target=""_blank"">Vai al glossario</a></p>"
consuntivo-spese-impegni-spese-somma-funzioni-sociale-asili-nido,consuntivo-spese-cassa-spese-somma-funzioni-sociale-asili-nido,,asili-nido,Asili nido,"<p>Spese per il funzionamento degli asili nido pubblici, contributi a strutture private, e i servizi di tutela per l'infanzia e i minori. <a title=""Asili nido"" href=""http://it.wikipedia.org/wiki/Glossario_del_bilancio_comunale#Funzioni_nel_settore_sociale"" target=""_blank"">Vai al glossario</a></p>"
consuntivo-spese-impegni-spese-somma-funzioni-sociale-assistenza-beneficenza-e-altro,consuntivo-spese-cassa-spese-somma-funzioni-sociale-assistenza-beneficenza-e-altro,,assistenza-beneficenza-e-altro,"Assistenza, beneficenza e altro","<p>Spese per interventi di carattere sociale sul territorio e servizi annessi, che non rientrano nelle voci della funzione sociale. <a title=""Assistenza, Beneficienza e altro"" href=""http://it.wikipedia.org/wiki/Glossario_del_bilancio_comunale#Funzioni_nel_settore_sociale"" target=""_blank"">Vai al glossario</a></p>"
consuntivo-spese-impegni-spese-somma-funzioni-istruzione-assistenza-trasporto-mense,consuntivo-spese-cassa-spese-somma-funzioni-istruzione-assistenza-trasporto-mense,,assistenza-trasporto-mense,"Assistenza, trasporto, mense","<p>Spese per servizi complementari a quelli scolastici, come assistenza, trasporto scolastico, mensa. <a title=""Istruzione"" href=""http://it.wikipedia.org/wiki/Glossario_del_bilancio_comunale#Funzioni_di_istruzione_pubblica"" target=""_blank"">Vai al glossario</a></p>"
consuntivo-spese-impegni-spese-somma-funzioni-cultura-biblioteche-e-musei,consuntivo-spese-cassa-spese-somma-funzioni-cultura-biblioteche-e-musei,,biblioteche-e-musei,Biblioteche e musei,"<p>Spese per i servizi bibliotecari e museali, compresi i pagamenti del personale, l'acquisto di libri o altro materiale, la costruzione e manutenzione dei locali. <a title=""Cultura"" href=""http://it.wikipedia.org/wiki/Glossario_del_bilancio_comunale#Funzioni_relative_alla_cultura_e_ai_beni_culturali"" target=""_blank"">Vai al glossario</a></p>"
consuntivo-entrate-accertamenti-imposte-e-tasse-imposte-casa-e-fabbricati,consuntivo-entrate-cassa-imposte-e-tasse-imposte-casa-e-fabbricati,preventivo-entrate-imposte-e-tasse-imposte-casa-e-fabbricati,casa-e-fabbricati,Casa e fabbricati,"<p>La somma di tutte le imposte sull'abitazione principale (I.C.I., I.M.U. o l'attuale I.C.U.) e su altri tipi di fabbricati (seconde case o altri immobili a uso commerciale) <a title=""casa e fabbricati"" href=""http://it.wikipedia.org/wiki/Glossario_del_bilancio_comunale#Imposta_su_abitazione"" target=""_blank"">(Tit.I - Cat. 2 - Imposte - Casa e fabbricati)</a></p>"
consuntivo-spese-impegni-spese-somma-funzioni-sociale-cimiteri,consuntivo-spese-cassa-spese-somma-funzioni-sociale-cimiteri,,cimiteri,Cimiteri,"<p>Spese per il servizio necroscopico e cimiteriale, e per la manutenzione degli spazi. <a title=""Servizio necroscopico e cimiteriale"" href=""http://it.wikipedia.org/wiki/Glossario_del_bilancio_comunale#Funzioni_nel_settore_sociale"" target=""_blank"">Vai al glossario</a></p>"
consuntivo-spese-impegni-spese-per-investimenti-interventi-conferimenti-di-capitale,consuntivo-spese-cassa-spese-per-investimenti-interventi-conferimenti-di-capitale,preventivo-spese-spese-per-investimenti-interventi-conferimenti-di-capitale,conferimenti-di-capitale,Conferimenti di capitale,"<p>Spese per conferimento di capitale in societ&agrave; esterne all'ente.<a title=""Conferimenti di capitale"" href=""http://it.wikipedia.org/wiki/Glossario_del_bilancio_comunale#Conferimenti_di_capitale"" target=""_blank"">Vai al glossario</a></p>"
consuntivo-entrate-accertamenti-contributi-pubblici-contributi-da-altri-enti-pubblici,consuntivo-entrate-cassa-contributi-pubblici-contributi-da-altri-enti-pubblici,preventivo-entrate-contributi-pubblici-contributi-da-altri-enti-pubblici,contributi-da-altri-enti-pubblici,Contributi da altri enti pubblici,"<p>Somma della Cat. 4 ""<a title=""Contributi e trasferimenti da parte di organismi comunitari e internazionali"" href=""http://it.wikipedia.org/wiki/Glossario_del_bilancio_comunale#Contributi_e_trasferimenti_da_parte_di_organismi_comunitari_e_internazionali"" target=""_blank"">Contributi e trasferimenti da parte di organismi comunitari e internazionali</a>"" e della Cat. 5 ""<a title=""Contributi e trasferimenti correnti da altri enti del settore pubblico"" href=""http://it.wikipedia.org/wiki/Glossario_del_bilancio_comunale#Contributi_e_trasferimenti_correnti_da_altri_enti_del_settore_pubblico"" target=""_blank"">Contributi e trasferimenti correnti da altri enti del settore pubblico</a>"" del Titolo II</p>"
consuntivo-entrate-accertamenti-contributi-pubblici-contributi-dalla-regione,consuntivo-entrate-cassa-contributi-pubblici-contributi-dalla-regione,preventivo-entrate-contributi-pubblici-contributi-dalla-regione,contributi-dalla-regione,Contributi dalla Regione,"<p>Somma della Cat. 2 ""Contributi e trasferimenti correnti dalla Regione"" e della Cat. 3 ""Contributi e trasferimenti correnti dalla Regione per funzioni delegate"" del Titolo II (<a title=""contributi e trasferimenti correnti dalla regione"" href=""http://it.wikipedia.org/wiki/Glossario_del_bilancio_comunale#Contributi_e_trasferimenti_correnti_dalla_Regione"" target=""_blank"">Tit. II - Cat. 2</a>; <a title=""contributi e trasferimenti dalla regione per funzioni delegate"" href=""http://it.wikipedia.org/wiki/Glossario_del_bilancio_comunale#Contributi_e_trasferimenti_correnti_dalla_Regione_per_funzioni_delegate"" target=""_blank"">Tit. II - Cat. 3</a>)</p>"
consuntivo-entrate-accertamenti-contributi-pubblici-contributi-dallo-stato,consuntivo-entrate-cassa-contributi-pubblici-contributi-dallo-stato,preventivo-entrate-contributi-pubblici-contributi-dallo-stato,contributi-dallo-stato,Contributi dallo Stato,"<p>Somma dei contributi dello Stato, per contribuire alle spese di funzionamento (<a title=""Contributi e trasferimenti correnti dallo Stato"" href=""http://it.wikipedia.org/wiki/Glossario_del_bilancio_comunale#Contributi_e_trasferimenti_correnti_dallo_Stato_.28Entrate_correnti.29"" target=""_blank"">Tit. II - Cat. 1 - Contribuiti e trasferimenti correnti dallo Stato</a>)</p>"
